Date,Price
1986-10-16,14.9348
1986-10-17,14.88125
1986-10-20,14.8271
1986-10-21,14.77055
1986-10-22,14.71555
1986-10-23,14.6606
1986-10-24,14.6051
1986-10-27,14.54885
1986-10-28,14.49435
1986-10-29,14.43815
1986-10-30,14.38765
1986-10-31,14.344
1986-11-03,14.29935
1986-11-04,14.26795
1986-11-05,14.23955
1986-11-06,14.2137
1986-11-07,14.1898
1986-11-10,14.16905
1986-11-11,14.14165
1986-11-12,14.12105
1986-11-13,14.10075
1986-11-14,14.08125
1986-11-17,14.0646
1986-11-18,14.05575
1986-11-19,14.05545
1986-11-20,14.04955
1986-11-21,14.0422
1986-11-24,14.0286
1986-11-25,14.01995
1986-11-26,14.01355
1986-11-28,14.00985
1986-12-01,14.00415
1986-12-02,14.0001
1986-12-03,14.00225
1986-12-04,14.00285
1986-12-05,14.0079
1986-12-08,14.0148
1986-12-09,14.01605
1986-12-10,14.01825
1986-12-11,14.0226
1986-12-12,14.033
1986-12-15,14.04875
1986-12-16,14.0694
1986-12-17,14.08865
1986-12-18,14.1099
1986-12-19,14.127
1986-12-22,14.15055
1986-12-23,14.1705
1986-12-24,14.19065
1986-12-29,14.20865
1986-12-30,14.2343
1986-12-31,14.2612
1987-01-02,14.28545
1987-01-05,14.3052
1987-01-06,14.33
1987-01-07,14.35765
1987-01-08,14.38105
1987-01-09,14.41395
1987-01-12,14.4468
1987-01-13,14.48095
1987-01-14,14.51985
1987-01-15,14.56405
1987-01-16,14.60405
1987-01-19,14.6408
1987-01-20,14.67595
1987-01-21,14.7052
1987-01-22,14.72705
1987-01-23,14.75585
1987-01-26,14.784
1987-01-27,14.80915
1987-01-28,14.8338
1987-01-29,14.8625
1987-01-30,14.89255
1987-02-02,14.928
1987-02-03,14.96115
1987-02-04,14.99305
1987-02-05,15.02345
1987-02-06,15.05
1987-02-09,15.07335
1987-02-10,15.09725
1987-02-11,15.11625
1987-02-12,15.1398
1987-02-13,15.1608
1987-02-17,15.1828
1987-02-18,15.201
1987-02-19,15.21515
1987-02-20,15.2327
1987-02-23,15.2463
1987-02-24,15.2544
1987-02-25,15.25805
1987-02-26,15.2638
1987-02-27,15.2673
1987-03-02,15.2712
1987-03-03,15.28055
1987-03-04,15.28915
1987-03-05,15.29875
1987-03-06,15.30375
1987-03-09,15.3135
1987-03-10,15.3272
1987-03-11,15.33865
1987-03-12,15.346
1987-03-13,15.36245
1987-03-16,15.38225
1987-03-17,15.40445
1987-03-18,15.4267
1987-03-19,15.45075
1987-03-20,15.4775
1987-03-23,15.50475
1987-03-25,15.5311
1987-03-26,15.5606
1987-03-27,15.5908
1987-03-30,15.62225
1987-03-31,15.64875
1987-04-01,15.6742
1987-04-02,15.69955
1987-04-03,15.7247
1987-04-06,15.75
1987-04-07,15.77535
1987-04-08,15.8001
1987-04-09,15.8211
1987-04-10,15.84215
1987-04-13,15.8626
1987-04-14,15.8869
1987-04-15,15.9135
1987-04-16,15.9395
1987-04-20,15.9688
1987-04-21,16.0017
1987-04-22,16.03665
1987-04-23,16.0733
1987-04-24,16.11245
1987-04-27,16.15065
1987-04-28,16.1893
1987-04-29,16.22695
1987-04-30,16.2651
1987-05-01,16.30315
1987-05-04,16.33855
1987-05-05,16.37105
1987-05-06,16.40565
1987-05-07,16.43705
1987-05-08,16.4681
1987-05-11,16.51085
1987-05-12,16.55355
1987-05-13,16.59575
1987-05-14,16.6394
1987-05-15,16.68315
1987-05-18,16.72455
1987-05-19,16.76575
1987-05-20,16.80835
1987-05-21,16.8503
1987-05-22,16.8787
1987-05-26,16.9037
1987-05-27,16.9266
1987-05-28,16.9471
1987-05-29,16.96975
1987-06-01,16.9929
1987-06-02,17.0139
1987-06-03,17.03685
1987-06-04,17.05845
1987-06-05,17.07825
1987-06-08,17.10005
1987-06-09,17.12435
1987-06-10,17.14735
1987-06-11,17.17045
1987-06-12,17.1927
1987-06-15,17.21565
1987-06-16,17.2381
1987-06-17,17.261
1987-06-18,17.28435
1987-06-19,17.30795
1987-06-22,17.32825
1987-06-23,17.34785
1987-06-24,17.3676
1987-06-25,17.3902
1987-06-26,17.41375
1987-06-29,17.44065
1987-06-30,17.46725
1987-07-01,17.49435
1987-07-02,17.5221
1987-07-03,17.5536
1987-07-06,17.5892
1987-07-07,17.62285
1987-07-08,17.6548
1987-07-09,17.68905
1987-07-10,17.72605
1987-07-13,17.76145
1987-07-14,17.79695
1987-07-15,17.8367
1987-07-16,17.87675
1987-07-17,17.9143
1987-07-20,17.95195
1987-07-21,17.98455
1987-07-22,18.0163
1987-07-23,18.04815
1987-07-24,18.0769
1987-07-27,18.1014
1987-07-28,18.1314
1987-07-29,18.1636
1987-07-30,18.19605
1987-07-31,18.23045
1987-08-03,18.26735
1987-08-04,18.3038
1987-08-05,18.3364
1987-08-06,18.3664
1987-08-07,18.39535
1987-08-10,18.4246
1987-08-11,18.45555
1987-08-12,18.4857
1987-08-13,18.5175
1987-08-14,18.54925
1987-08-17,18.57985
1987-08-18,18.60365
1987-08-19,18.62595
1987-08-20,18.6498
1987-08-21,18.67055
1987-08-24,18.6918
1987-08-25,18.7129
1987-08-26,18.7346
1987-08-27,18.75655
1987-08-28,18.7768
1987-08-31,18.79895
1987-09-01,18.81925
1987-09-02,18.83895
1987-09-03,18.85825
1987-09-04,18.8767
1987-09-07,18.8958
1987-09-08,18.91525
1987-09-09,18.93675
1987-09-10,18.96045
1987-09-11,18.9823
1987-09-14,19.0055
1987-09-15,19.0288
1987-09-16,19.0509
1987-09-17,19.0727
1987-09-18,19.09495
1987-09-21,19.1178
1987-09-22,19.13885
1987-09-23,19.1621
1987-09-24,19.1855
1987-09-25,19.20725
1987-09-28,19.2272
1987-09-29,19.24445
1987-09-30,19.26065
1987-10-01,19.2782
1987-10-02,19.29845
1987-10-05,19.3161
1987-10-06,19.33
1987-10-07,19.34365
1987-10-08,19.35785
1987-10-09,19.3699
1987-10-12,19.38
1987-10-13,19.38965
1987-10-14,19.39895
1987-10-15,19.40715
1987-10-16,19.4184
1987-10-19,19.4263
1987-10-20,19.43385
1987-10-21,19.44035
1987-10-22,19.4474
